Qual o estado que você mora?,Qual a sua idade?,Quantas vezes ao mês você faz compras em mercados?,"Qual a sua renda familiar, aproximadamente?",Extra,Carrefour,Pão de Açúcar,Rappi,James,iFood,Cornershop,Supermercado Now,Americanas Mercado,Uber,Não uso,Other,Ofertas de desconto em produtos nas prateleiras da loja (concentração BIG),Ofertas de desconto em produtos através de ativação no aplicativo (concentração BIG),Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra (concentração BIG),Produtos colecionáveis a partir das compras em loja (ex: campanha de selinhos) (concentração BIG),Acúmulo de pontos para troca por produtos ou cupons de desconto (concentração BIG),"Para você, qual a melhor forma de cadastro em programas de fidelidade?",Cartela de selinhos (conheço),Cashback  (conheço),Cupons de desconto  (conheço),Ativação de ofertas em aplicativos  (conheço),Acúmulo de pontos  (conheço),Acúmulo de milhas  (conheço),Cartão fidelidade  (conheço),Nenhum  (conheço),Cartela de selinhos (usei),Cashback (usei),Cupons de desconto (usei),Ativação de ofertas em aplicativos (usei),Acúmulo de pontos (usei),Acúmulo de milhas (usei),Cartão fidelidade (usei),Nenhum (usei),"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços","Sim, já recebi dinheiro de volta","Não, nunca resgatei nenhum prêmio",Quais são os melhores tipos de recompensa para você?,"Entre esses dois refrigerantes, qual o que você geralmente inclui em suas compras?","Se você estivesse próximo de completar sua cartela de selos para resgatar a sua recompensa, qual dos refrigerantes você compraria? (Pepsi 2x)","Se você estivesse próximo de completar sua cartela de selos para resgatar a sua recompensa, qual dos refrigerantes você compraria? (Coca 2x)","No programa de selos, a cada R$20,00 em compras no BIG, exceto no setor de Eletro, você acumula um selo. Considere que você fez a compra ao lado, o que você entende sobre esse mecanismo do programa?","Para receber uma sanduicheira, você precisa juntar 40 selos. Porém, juntando 60 selos, você poderia trocar por um micro-ondas. Você gastaria R$ 100 a mais do que o normal no supermercado em um mês para trocar pelo micro-ondas?",Por que você não juntaria mais selos para trocar pelo microondas?,Por que você não trocaria os seus selos rapidamente pela sanduicheira?,O que você acha de campanhas temáticas próximas de datas comemorativas?,"Depois que você trocou a quantidade de selos pelo seu produto preferido, com quanto tempo você gostaria de retirar o produto na loja?","Caso você tivesse com a cartela de selos completa e o estoque dos prêmios acabassem antes de você resgatar, você participaria de outra campanha de selos?","Digamos que você fez uma compra de R$200,00 no BIG e começou a acompanhar seu progresso no programa de pontos. Olhando para a imagem ao lado, quantos reais faltam para você alcançar 1 moeda?","Digamos que você tem 1 moeda no programa de pontos, você concentraria mais R$ 200,00 em compras no BIG em um mês para ganhar 3 moedas e trocar por um prêmio melhor?",Você instalaria o aplicativo do BIG para participar do programa de selinhos?
Rio Grande do Sul (RS),25 a 35 anos,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,iFood,,,,,,,Ofertas de desconto em produtos nas prateleiras da loja,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,Cashback,Cupons de desconto,,Acúmulo de pontos,,Cartão fidelidade,,,Cashback,,,,,Cartão fidelidade,,,"Sim, já recebi descontos na loja",,"Sim, já recebi dinheiro de volta",,"Dinheiro de volta (Cashback),Eletrodomésticos,Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Coca-Cola,,que eu ganhei dois selos,"Não, fico com a sanduicheira",porque não faria sentido eu gastar a mais pra ganhar um produto mais caro. aí é só juntar esse dinheiro pra comprar um micro-ondas futuramente pra quando eu realmente precisar de um.,,,No mesmo dia,Provavelmente,R$100,0,1
São Paulo (SP),35 a 45 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Fazer o cadastro no próprio caixa,,,,,,,Cartão fidelidade,,,,,,,,Cartão fidelidade,,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG,Dinheiro de volta (Cashback)",Nenhum deles,,,Acumular selos,"Sim, gastaria e trocaria pelo microondas",,Não uso com frequência,Ofertas para cada data,No mesmo dia,Sim,R$100,1,1
Pernambuco (PE),25 a 35 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Pessoas na loja ajudando no cadastro,,,,,,,,Nenhum,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Coca-Cola,,Nada,"Não, fico com a sanduicheira",Economia,,,No mesmo dia,Depende da campanha,R$100,1,1
Ceará (CE),menos de 18 anos,3 a 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,Pão de Açúcar,,,iFood,,,Americanas Mercado,,,Não gosto,Ofertas de desconto em produtos nas prateleiras da loja,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Pessoas na loja ajudando no cadastro,,,Cupons de desconto,,,,,,,,Cupons de desconto,,,,,,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Pepsi com selos em dobro,,Não entendo,"Sim, gastaria e trocaria pelo microondas",,Por que a minha não presta,Boa,Na mesma semana,Depende da campanha,R$200,1,1
Pernambuco (PE),35 a 45 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,Produtos colecionáveis a partir das compras em loja (ex: campanha de selinhos),,Fazer o cadastro no próprio caixa,,,Cupons de desconto,,,,Cartão fidelidade,,,,Cupons de desconto,,Acúmulo de pontos,,,,"Sim, já resgatei um produto",,,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG,Dinheiro de volta (Cashback)",Coca-Cola,Coca-Cola,,Muito bom,"Sim, gastaria e trocaria pelo microondas",,Pq o microondas e melhor e a diferença e pouca.,Ótimo,Na mesma semana,Depende da campanha,R$100,1,1
Paraná (PR),25 a 35 anos,1 a 3 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,,,,,,Cartão fidelidade,,Cartela de selinhos,,,Ativação de ofertas em aplicativos,,,,,"Sim, já resgatei um produto",,,"Sim, já recebi dinheiro de volta",,"Dinheiro de volta (Cashback),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Cupons de desconto no BIG,Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Coca-Cola,,O valor a considerar no programa seria os 44$ gerando então 2 cupons,"Sim, gastaria e trocaria pelo microondas",,O valor em si do produto na troca e a utilidade no dia dia contam na hora da troca,interessante,No mesmo dia,Depende da campanha,R$100,0,1
Rio Grande do Sul (RS),35 a 45 anos,3 a 5 vezes ao mês,"De 10 a 20 salários mínimos (de R$ 10.450,01 a R$ 20.900,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,Cashback,Cupons de desconto,,Acúmulo de pontos,,Cartão fidelidade,,,,Cupons de desconto,,Acúmulo de pontos,,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja",,,,"Cupons de desconto no BIG,Dinheiro de volta (Cashback),Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...)",Nenhum deles,,,Entendo que foi acumulado 2 selos.,"Sim, gastaria e trocaria pelo microondas",,"No meu caso é por que eu não uso sanduicheira. Isso depende das opções de itens para a troca. Eu também não gastaria mais 100 reais para trocar pelo micro-ondas, pois não preciso de um.",Acho interessante.,No mesmo dia,Depende da campanha,R$100,0,1
Bahia (BA),45 a 55 anos,Mais de 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,Uber,,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,,,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja",,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Pepsi,,Pepsi,52 selos,"Sim, gastaria e trocaria pelo microondas",,Acumulado pontos trocaria por algo melhor,"Sim, muito bom há necessidade de compras destes produtos independente das campanhas temáticas.",Na mesma semana,Provavelmente,R$100,1,1
Bahia (BA),35 a 45 anos,3 a 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Pessoas na loja ajudando no cadastro,,,,,,,,Nenhum,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Eletrodomésticos,Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Não entendo sobre isso,"Sim, gastaria e trocaria pelo microondas",,Não gosto,Roupas,No mesmo dia,Não,R$50,1,1
Pernambuco (PE),35 a 45 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,,,,,,,Nenhum,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Eletrodomésticos,Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,não sei responder,"Sim, gastaria e trocaria pelo microondas",,por não ter a mesma utilidade,excelente,Na mesma semana,Provavelmente,R$100,0,0
São Paulo (SP),mais de 55 anos,3 a 5 vezes ao mês,"De 10 a 20 salários mínimos (de R$ 10.450,01 a R$ 20.900,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,Cashback,,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,,,,Cashback,,Ativação de ofertas em aplicativos,Acúmulo de pontos,Acúmulo de milhas,,,,,,,"Não, nunca resgatei nenhum prêmio","Dinheiro de volta (Cashback),Cupons de desconto no BIG,Cupons de descontos em lojas parceiras,Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...)",Nenhum deles,,,"Vou acumular 2 selos numa compra de $ 1050 $. Ou seja, nada!","Sim, gastaria e trocaria pelo microondas",,Porque compraria produtos não perecíveis que podem ser usados no próximo mês.,Não me interessa,Na mesma semana,Não,R$100,0,0
Rio Grande do Sul (RS),45 a 55 anos,1 a 3 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Pessoas na loja ajudando no cadastro,,,,,,,Cartão fidelidade,,,,,,,,Cartão fidelidade,,,"Sim, já recebi descontos na loja",,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Eletrodomésticos,Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,ganhei um refrigerante,"Sim, gastaria e trocaria pelo microondas",,micro ondas maior valor,boas,No mesmo mês,Sim,R$200,1,1
Alagoas (AL),25 a 35 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,,,,,Acúmulo de pontos para troca por produtos ou cupons de desconto,Cadastro pelo app,,,,,,,,Nenhum,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Nao sei,"Sim, gastaria e trocaria pelo microondas",,O microondas tem mais utilidade..para mim,Otimas,No mesmo dia,Não,R$200,1,1
Pernambuco (PE),35 a 45 anos,Mais de 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,Cashback,,,,,,,,Cashback,Cupons de desconto,,,,,,,,,,"Não, nunca resgatei nenhum prêmio","Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Nenhum deles,,,Nada,"Sim, gastaria e trocaria pelo microondas",,Pra pegar algo melhor,Ótimo,No mesmo dia,Depende da campanha,R$100,1,1
Rio Grande do Sul (RS),35 a 45 anos,Mais de 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,,Ofertas de desconto em produtos através de ativação no aplicativo,,,,Cadastro pelo app,,,,Ativação de ofertas em aplicativos,,,,,,,,Ativação de ofertas em aplicativos,,,,,"Sim, já resgatei um produto",,,,,"Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Muito interesante e chamativo na verdade teria que ter alguns itens chamativos em oferta para chamar clientes eu era funcionario do big de caxias rs fui demitido,"Sim, gastaria e trocaria pelo microondas",,Porque eu nao tenho microndas,Muitoi nteresante e chamativo na verdade o cliente de caxias e muito de ser cativado comprou ganhou essa dica e otima,No mesmo dia,Não,R$100,1,1
São Paulo (SP),mais de 55 anos,1 a 3 vezes ao mês,"De 10 a 20 salários mínimos (de R$ 10.450,01 a R$ 20.900,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Fazer o cadastro no próprio caixa,,,,,,,,Nenhum,,,,,,,,Nenhum,"Sim, já resgatei um produto",,,,,"Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Nenhum deles,,,NAO ENTENDI,"Sim, gastaria e trocaria pelo microondas",,E MAIS FACIL MANTER OS PREÇOS MAIS BAIXOS QUE A CONCORRENCIA,MANTENHAM OS PREÇOS MAIS BAIXOS NÃO FAÇAM ESTAS ACROBACIAS PARA MELHORAR SUA VENDAS.SIMPLIFIQUEM,No mesmo dia,Não,R$50,1,0
Paraíba (PB),mais de 55 anos,Mais de 5 vezes ao mês,"De 10 a 20 salários mínimos (de R$ 10.450,01 a R$ 20.900,00)",Extra,,Pão de Açúcar,,,,,,,,,,,Ofertas de desconto em produtos através de ativação no aplicativo,,,,Cadastro pelo app,Cartela de selinhos,Cashback,,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,Cartela de selinhos,,Cupons de desconto,Ativação de ofertas em aplicativos,,,,,"Sim, já resgatei um produto",,,,,"Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de desconto no BIG,Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Coca-Cola,Pepsi com selos em dobro,,Somente o refri dará selos.,"Sim, gastaria e trocaria pelo microondas",,Sou paciente....,Exageradas.,Na mesma semana,Depende da campanha,R$100,1,1
Bahia (BA),35 a 45 anos,1 a 3 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,,,,,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,Cartela de selinhos,,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,,,,"Sim, já recebi descontos na loja",,,,"Dinheiro de volta (Cashback),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Cupons de desconto no BIG,Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Coca-Cola,,Nd,"Não, fico com a sanduicheira",Não juntaria,,,Na mesma semana,Depende da campanha,R$200,0,0
São Paulo (SP),18 a 25 anos,Mais de 5 vezes ao mês,"Acima de 20 salários mínimos (de R$ 20.900,01 em diante)",,Carrefour,Pão de Açúcar,,,iFood,,,,Uber,,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,Cartão fidelidade,,Cartela de selinhos,,Cupons de desconto,Ativação de ofertas em aplicativos,Acúmulo de pontos,,Cartão fidelidade,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja",,,,"Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de desconto no BIG,Dinheiro de volta (Cashback),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...)",Coca-Cola,Pepsi com selos em dobro,,Esta correto receber somente 2 selos sendo que eletro não entra na promoção de selos. Caso a Pepsi esteja com a promo de selos em dobro o correto seria 4 selos.,"Sim, gastaria e trocaria pelo microondas",,"pois o valor do microondas é bem maior se eu fosse comprar em uma loja, a sanduicheira é muito mais barata","eu adoro louças, e gosto de promoções tematicas",No mesmo dia,Depende da campanha,R$100,1,1
Pernambuco (PE),45 a 55 anos,Mais de 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,Carrefour,,,,,,,,Uber,,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Fazer o cadastro no próprio caixa,,,,,,,Cartão fidelidade,,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Dinheiro de volta (Cashback),Eletrodomésticos,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,que ganhei 2 ponto,"Não, fico com a sanduicheira",porque  compro conciente,,,Na mesma semana,Sim,R$100,1,1
Ceará (CE),45 a 55 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,Cashback,,,,,,,,,,,,,,Nenhum,,"Sim, já recebi descontos na loja",,,,"Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de desconto no BIG,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Coca-Cola,Pepsi com selos em dobro,,Devo comprar onde se acumula os selos e não em outro departamento,"Sim, gastaria e trocaria pelo microondas",,Pq o microondas é mais útil,Muito legal,Na mesma semana,Provavelmente,R$100,1,1
Rio Grande do Sul (RS),35 a 45 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Pessoas na loja ajudando no cadastro,,,,Ativação de ofertas em aplicativos,,,,,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Cupons de desconto no BIG,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Coca-Cola,Pepsi com selos em dobro,,Muito legal,"Sim, gastaria e trocaria pelo microondas",,O microondas e mais necessário,Acho ótimo,No mesmo dia,Depende da campanha,R$400,1,1
Ceará (CE),45 a 55 anos,3 a 5 vezes ao mês,"De 4 a 10 salários mínimos (de R$ 4.180,01 a R$ 10.450,00)",,,,,,,,,,,Não uso,,,,Receber de crédito parte do valor que você pagou em suas compras para uma próxima compra,,,Cadastro pelo app,,,,,,,Cartão fidelidade,,,,,,Acúmulo de pontos,,,,,,,,"Não, nunca resgatei nenhum prêmio","Dinheiro de volta (Cashback),Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Nenhum deles,,,Sem opiniao,"Não, fico com a sanduicheira",pra não perder o credito,,,Na mesma semana,Não,R$100,1,1
Pernambuco (PE),35 a 45 anos,1 a 3 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,Uber,,,Ofertas de desconto em produtos nas prateleiras da loja,,,,,Cadastro pelo app,,,,,,,,Nenhum,,,,,,,,Nenhum,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Cupons de descontos em lojas parceiras,Eletrodomésticos,Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Sim,"Sim, gastaria e trocaria pelo microondas",,Porque preciso mas do forno mocroondas,Bom. Tem que  chama clientelas e aproveitar as oportunidades e fazer a cabeça do povo pra comprar. E conhecer as promoções,Na mesma semana,Sim,R$400,1,1
Rio de Janeiro (RJ),,3 a 5 vezes ao mês,"De 2 a 4 salários mínimos (de R$ 2.090,01 a R$ 4.180,00)",,,,,,,,,,,Não uso,,Ofertas de desconto em produtos nas prateleiras da loja,Ofertas de desconto em produtos através de ativação no aplicativo,,Produtos colecionáveis a partir das compras em loja (ex: campanha de selinhos),,Cadastro pelo app,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,,Acúmulo de milhas,,,Cartela de selinhos,Cashback,Cupons de desconto,Ativação de ofertas em aplicativos,,Acúmulo de milhas,,,"Sim, já resgatei um produto","Sim, já recebi descontos na loja","Sim, já recebi descontos em outros serviços",,,"Cupons de desconto no BIG,Eletrodomésticos,Cupons de descontos em lojas parceiras,Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Seguros (ex: Seguro Residência\, Seguro Família...),Dinheiro de volta (Cashback)",Coca-Cola,Pepsi com selos em dobro,,Não ganhei os selos pois tem eletrónico na minha compra,"Sim, gastaria e trocaria pelo microondas",,O microondas é mais útil,Otimas,Na mesma semana,Sim,R$100,1,1
São Paulo (SP),45 a 55 anos,3 a 5 vezes ao mês,"Até 2 salários mínimos (até R$ 2.090,00)",,,,,,,,,,Uber,,,,Ofertas de desconto em produtos através de ativação no aplicativo,,,,Cadastro pelo app,,,Cupons de desconto,Ativação de ofertas em aplicativos,,,,,,,Cupons de desconto,Ativação de ofertas em aplicativos,,,,,,,,,"Não, nunca resgatei nenhum prêmio","Produtos colecionáveis (ex: Conjunto de talheres\, panelas...),Eletrodomésticos,Cupons de descontos em lojas parceiras,Dinheiro de volta (Cashback),Seguros (ex: Seguro Residência\, Seguro Família...),Cupons de desconto no BIG",Coca-Cola,Coca-Cola,,Nda,"Não, fico com a sanduicheira",Porque ja tenho uma,,,No mesmo mês,Não,R$50,1,1
